i,j,lat,lon,region,good,fair,poor,cfactor
448,456,51.453228,-122.021152,100_Mile_House,100,55,33,1.08
456,487,51.698976,-120.932376,100_Mile_House,100,55,33,1.08
453,473,51.603008,-121.42768,100_Mile_House,100,55,33,1.08
473,497,52.099336,-120.622376,100_Mile_House,100,55,33,1.08
454,488,51.656116,-120.889896,100_Mile_House,100,55,33,1.08
447,497,51.516352,-120.543888,100_Mile_House,100,55,33,1.08
441,474,51.336328,-121.350888,100_Mile_House,100,55,33,1.08
456,471,51.665908,-121.510184,100_Mile_House,100,55,33,1.08
461,477,51.790664,-121.310504,100_Mile_House,100,55,33,1.08
475,497,52.14418,-120.628496,100_Mile_House,100,55,33,1.08
466,504,51.9552,-120.346488,100_Mile_House,100,55,33,1.08
432,463,51.11096,-121.712736,100_Mile_House,100,55,33,1.08
451,473,51.558208,-121.420824,100_Mile_House,100,55,33,1.08
444,472,51.399288,-121.432784,100_Mile_House,100,55,33,1.08
450,458,51.502608,-121.95676,100_Mile_House,100,55,33,1.08
470,473,51.983768,-121.48656,100_Mile_House,100,55,33,1.08
446,454,51.403812,-122.085408,100_Mile_House,100,55,33,1.08
464,472,51.847236,-121.501904,100_Mile_House,100,55,33,1.08
443,483,51.39966,-121.034768,100_Mile_House,100,55,33,1.08
466,487,51.9231,-120.964432,100_Mile_House,100,55,33,1.08
469,482,51.980252,-121.15596,100_Mile_House,100,55,33,1.08
437,463,51.222908,-121.730496,100_Mile_House,100,55,33,1.08
450,480,51.550432,-121.165424,100_Mile_House,100,55,33,1.08
447,470,51.462184,-121.514912,100_Mile_House,100,55,33,1.08
427,460,50.992312,-121.801672,100_Mile_House,100,55,33,1.08
471,477,52.01468,-121.34456,100_Mile_House,100,55,33,1.08
450,498,51.585472,-120.516784,100_Mile_House,100,55,33,1.08
433,487,51.183456,-120.859848,100_Mile_House,100,55,33,1.08
437,462,51.220676,-121.766208,100_Mile_House,100,55,33,1.08
462,470,51.798116,-121.56732,100_Mile_House,100,55,33,1.08
458,467,51.701972,-121.661608,100_Mile_House,100,55,33,1.08
459,476,51.74376,-121.339896,100_Mile_House,100,55,33,1.08
436,471,51.217964,-121.44124,100_Mile_House,100,55,33,1.08
465,472,51.869632,-121.5054,100_Mile_House,100,55,33,1.08
459,496,51.78356,-120.616088,100_Mile_House,100,55,33,1.08
446,463,51.424408,-121.762664,100_Mile_House,100,55,33,1.08
436,479,51.234692,-121.155328,100_Mile_House,100,55,33,1.08
