i,j,lat,lon,region,good,fair,poor,cfactor
443,486,51.405632,-120.92708,100_Mile_House,100,55,33,1.08
464,468,51.838524,-121.646816,100_Mile_House,100,55,33,1.08
463,464,51.807244,-121.78804,100_Mile_House,100,55,33,1.08
454,491,51.661952,-120.781568,100_Mile_House,100,55,33,1.08
467,469,51.9079,-121.621248,100_Mile_House,100,55,33,1.08
473,481,52.06782,-121.205712,100_Mile_House,100,55,33,1.08
456,483,51.690984,-121.076904,100_Mile_House,100,55,33,1.08
475,495,52.140396,-120.701536,100_Mile_House,100,55,33,1.08
446,478,51.456692,-121.224128,100_Mile_House,100,55,33,1.08
461,493,51.822716,-120.73092,100_Mile_House,100,55,33,1.08
460,476,51.76616,-121.343296,100_Mile_House,100,55,33,1.08
441,472,51.332092,-121.422536,100_Mile_House,100,55,33,1.08
434,471,51.173168,-121.434424,100_Mile_House,100,55,33,1.08
791,235,58.177916,-132.915208,Atlin,100,55,33,1.17
865,210,59.633304,-134.81944,Atlin,100,55,33,1.17
849,242,59.47942,-133.269584,Atlin,100,55,33,1.17
833,283,59.35608,-131.349664,Atlin,100,55,33,1.17
850,285,59.738432,-131.440352,Atlin,100,55,33,1.17
846,262,59.527292,-132.384056,Atlin,100,55,33,1.17
896,146,59.86852,-137.93912,Atlin,100,55,33,1.17
895,150,59.875804,-137.756496,Atlin,100,55,33,1.17
876,156,59.512484,-137.237232,Atlin,100,55,33,1.17
791,246,58.239704,-132.462512,Atlin,100,55,33,1.17
869,230,59.842564,-134.016768,Atlin,100,55,33,1.17
784,232,58.008512,-132.962448,Atlin,100,55,33,1.17
870,149,59.335292,-137.445552,Atlin,100,55,33,1.17
859,262,59.810632,-132.527872,Atlin,100,55,33,1.17
821,262,58.981976,-132.11416,Atlin,100,55,33,1.17
801,250,58.479868,-132.403184,Atlin,100,55,33,1.17
874,147,59.406576,-137.58448,Atlin,100,55,33,1.17
826,259,59.074648,-132.294056,Atlin,100,55,33,1.17
847,285,59.672808,-131.409008,Atlin,100,55,33,1.17
853,233,59.513568,-133.698312,Atlin,100,55,33,1.17
899,145,59.925224,-138.024592,Atlin,100,55,33,1.17
860,242,59.7184,-133.396824,Atlin,100,55,33,1.17
861,227,59.651172,-134.048424,Atlin,100,55,33,1.17
813,264,58.818168,-131.945728,Atlin,100,55,33,1.17
827,296,59.291192,-130.734448,Atlin,100,55,33,1.17
781,234,57.954584,-132.848408,Atlin,100,55,33,1.17
830,305,59.401732,-130.378992,Atlin,100,55,33,1.17
856,226,59.536816,-134.03096,Atlin,100,55,33,1.17
882,179,59.79832,-136.352448,Atlin,100,55,33,1.17
822,277,59.084056,-131.491424,Atlin,100,55,33,1.17
830,257,59.150832,-132.421744,Atlin,100,55,33,1.17
827,265,59.129232,-132.05136,Atlin,100,55,33,1.17
867,166,59.388788,-136.696592,Atlin,100,55,33,1.17
866,239,59.831088,-133.5956,Atlin,100,55,33,1.17
854,205,59.364416,-134.893728,Atlin,100,55,33,1.17
836,301,59.51358,-130.609432,Atlin,100,55,33,1.17
871,161,59.440192,-136.959616,Atlin,100,55,33,1.17
876,173,59.629204,-136.52464,Atlin,100,55,33,1.17
868,248,59.92704,-133.232624,Atlin,100,55,33,1.17
885,148,59.648336,-137.697856,Atlin,100,55,33,1.17
871,164,59.460804,-136.834288,Atlin,100,55,33,1.17
873,166,59.517324,-136.777792,Atlin,100,55,33,1.17
781,235,57.96024,-132.807552,Atlin,100,55,33,1.17
790,266,58.326312,-131.625448,Atlin,100,55,33,1.17
781,255,58.07082,-131.987744,Atlin,100,55,33,1.17
827,260,59.101952,-132.262616,Atlin,100,55,33,1.17
899,131,59.823216,-138.612048,Atlin,100,55,33,1.17
865,267,59.969132,-132.379144,Atlin,100,55,33,1.17
839,299,59.56936,-130.725192,Atlin,100,55,33,1.17
879,182,59.75398,-136.185424,Atlin,100,55,33,1.17
502,308,52.18314,-127.632064,Bella_Coola,100,55,33,1.8
485,361,52.005176,-125.614656,Bella_Coola,100,55,33,1.8
488,335,51.978392,-126.569736,Bella_Coola,100,55,33,1.8
493,337,52.0968,-126.527984,Bella_Coola,100,55,33,1.8
519,347,52.710812,-126.3218,Bella_Coola,100,55,33,1.8
528,346,52.906908,-126.413296,Bella_Coola,100,55,33,1.8
495,341,52.156016,-126.395504,Bella_Coola,100,55,33,1.8
488,359,52.064956,-125.70379200000001,Bella_Coola,100,55,33,1.8
517,331,52.606388,-126.894576,Bella_Coola,100,55,33,1.8
510,311,52.372368,-127.576688,Bella_Coola,100,55,33,1.8
528,355,52.93968,-126.081848,Bella_Coola,100,55,33,1.8
535,354,53.091548,-126.160672,Bella_Coola,100,55,33,1.8
489,358,52.083708,-125.745608,Bella_Coola,100,55,33,1.8
517,335,52.621668,-126.748512,Bella_Coola,100,55,33,1.8
498,310,52.102728,-127.533512,Bella_Coola,100,55,33,1.8
503,337,52.318672,-126.588992,Bella_Coola,100,55,33,1.8
503,306,52.1971,-127.710896,Bella_Coola,100,55,33,1.8
501,336,52.270548,-126.612992,Bella_Coola,100,55,33,1.8
516,310,52.50108,-127.653,Bella_Coola,100,55,33,1.8
514,342,52.581396,-126.474304,Bella_Coola,100,55,33,1.8
526,358,52.905964,-125.959464,Bella_Coola,100,55,33,1.8
519,319,52.603756,-127.345248,Bella_Coola,100,55,33,1.8
525,305,52.679592,-127.896008,Bella_Coola,100,55,33,1.8
500,318,52.178992,-127.257968,Bella_Coola,100,55,33,1.8
498,326,52.16594,-126.956232,Bella_Coola,100,55,33,1.8
501,343,52.296556,-126.359112,Bella_Coola,100,55,33,1.8
524,312,52.686252,-127.633808,Bella_Coola,100,55,33,1.8
520,342,52.71454,-126.511064,Bella_Coola,100,55,33,1.8
524,349,52.829132,-126.278648,Bella_Coola,100,55,33,1.8
523,350,52.810572,-126.235872,Bella_Coola,100,55,33,1.8
506,359,52.46506,-125.8064,Bella_Coola,100,55,33,1.8
522,350,52.788368,-126.229856,Bella_Coola,100,55,33,1.8
487,341,51.97844,-126.3476,Bella_Coola,100,55,33,1.8
495,284,51.927684,-128.446904,Bella_Coola,100,55,33,1.8
512,359,52.598408,-125.841016,Bella_Coola,100,55,33,1.8
538,360,53.179684,-125.956432,Bella_Coola,100,55,33,1.8
524,320,52.718464,-127.34156,Bella_Coola,100,55,33,1.8
518,336,52.647636,-126.718224,Bella_Coola,100,55,33,1.8
528,362,52.964528,-125.823704,Bella_Coola,100,55,33,1.8
504,356,52.410056,-125.9042,Bella_Coola,100,55,33,1.8
502,284,52.082236,-128.496152,Bella_Coola,100,55,33,1.8
489,354,52.069676,-125.890216,Bella_Coola,100,55,33,1.8
505,327,52.324964,-126.964208,Bella_Coola,100,55,33,1.8
507,350,52.455272,-126.14036,Bella_Coola,100,55,33,1.8
541,329,53.130552,-127.122176,Bella_Coola,100,55,33,1.8
495,361,52.227508,-125.670904,Bella_Coola,100,55,33,1.8
526,300,52.680792,-128.085232,Bella_Coola,100,55,33,1.8
529,296,52.73014,-128.25208,Bella_Coola,100,55,33,1.8
499,322,52.172564,-127.10708,Bella_Coola,100,55,33,1.8
510,315,52.388492,-127.431648,Bella_Coola,100,55,33,1.8
575,371,54.040656,-125.763992,Burns_Lake,100,55,33,1.27
551,329,53.352108,-127.187736,Burns_Lake,100,55,33,1.27
569,362,53.875492,-126.067776,Burns_Lake,100,55,33,1.27
566,319,53.644152,-127.66096,Burns_Lake,100,55,33,1.27
601,394,54.69672,-125.036616,Burns_Lake,100,55,33,1.27
598,370,54.548272,-125.940736,Burns_Lake,100,55,33,1.27
630,390,55.32884,-125.359504,Burns_Lake,100,55,33,1.27
544,340,53.239436,-126.734544,Burns_Lake,100,55,33,1.27
613,392,54.957248,-125.182368,Burns_Lake,100,55,33,1.27
588,394,54.407292,-124.963696,Burns_Lake,100,55,33,1.27
568,371,53.885056,-125.722528,Burns_Lake,100,55,33,1.27
546,341,53.287584,-126.710128,Burns_Lake,100,55,33,1.27
594,366,54.445144,-126.06916,Burns_Lake,100,55,33,1.27
556,350,53.543136,-126.437904,Burns_Lake,100,55,33,1.27
637,394,55.497972,-125.244112,Burns_Lake,100,55,33,1.27
613,382,54.923548,-125.569512,Burns_Lake,100,55,33,1.27
548,376,53.457472,-125.419024,Burns_Lake,100,55,33,1.27
541,342,53.180452,-126.641544,Burns_Lake,100,55,33,1.27
588,360,54.290204,-126.260592,Burns_Lake,100,55,33,1.27
621,413,55.2024,-124.410176,Burns_Lake,100,55,33,1.27
609,395,54.878076,-125.043336,Burns_Lake,100,55,33,1.27
626,404,55.28566,-124.789224,Burns_Lake,100,55,33,1.27
578,340,53.993292,-126.95388,Burns_Lake,100,55,33,1.27
609,377,54.817332,-125.7386,Burns_Lake,100,55,33,1.27
635,394,55.453468,-125.23236,Burns_Lake,100,55,33,1.27
564,369,53.789172,-125.774232,Burns_Lake,100,55,33,1.27
559,368,53.674544,-125.782264,Burns_Lake,100,55,33,1.27
556,335,53.486324,-126.997392,Burns_Lake,100,55,33,1.27
569,335,53.774424,-127.082616,Burns_Lake,100,55,33,1.27
576,356,54.009168,-126.337264,Burns_Lake,100,55,33,1.27
568,380,53.915884,-125.382848,Burns_Lake,100,55,33,1.27
574,371,54.018428,-125.758048,Burns_Lake,100,55,33,1.27
559,342,53.579692,-126.755648,Burns_Lake,100,55,33,1.27
609,394,54.874804,-125.082016,Burns_Lake,100,55,33,1.27
579,360,54.090368,-126.204648,Burns_Lake,100,55,33,1.27
575,364,54.015932,-126.028784,Burns_Lake,100,55,33,1.27
619,413,55.157824,-124.399432,Burns_Lake,100,55,33,1.27
579,374,54.140008,-125.674008,Burns_Lake,100,55,33,1.27
574,341,53.908472,-126.89004,Burns_Lake,100,55,33,1.27
534,343,53.028908,-126.560848,Burns_Lake,100,55,33,1.27
625,407,55.272888,-124.666384,Burns_Lake,100,55,33,1.27
609,385,54.844812,-125.429848,Burns_Lake,100,55,33,1.27
578,346,54.016248,-126.727544,Burns_Lake,100,55,33,1.27
581,342,54.0675,-126.89808,Burns_Lake,100,55,33,1.27
570,351,53.857536,-126.488112,Burns_Lake,100,55,33,1.27
560,353,53.64298,-126.35056,Burns_Lake,100,55,33,1.27
570,345,53.835028,-126.713736,Burns_Lake,100,55,33,1.27
556,369,53.611348,-125.727112,Burns_Lake,100,55,33,1.27
567,325,53.69056,-127.443656,Burns_Lake,100,55,33,1.27
583,376,54.235848,-125.62164,Burns_Lake,100,55,33,1.27
386,603,50.276668,-116.652928,Castlegar,100,55,33,1.13
351,579,49.471656,-117.447632,Castlegar,100,55,33,1.13
356,568,49.57378,-117.834688,Castlegar,100,55,33,1.13
340,551,49.195764,-118.393064,Castlegar,100,55,33,1.13
349,586,49.432528,-117.203664,Castlegar,100,55,33,1.13
375,585,50.016344,-117.27088,Castlegar,100,55,33,1.13
354,546,49.504288,-118.590936,Castlegar,100,55,33,1.13
349,592,49.437108,-116.996816,Castlegar,100,55,33,1.13
351,582,49.474228,-117.344136,Castlegar,100,55,33,1.13
347,542,49.342016,-118.71512800000001,Castlegar,100,55,33,1.13
346,585,49.364272,-117.234408,Castlegar,100,55,33,1.13
379,584,50.10546,-117.310968,Castlegar,100,55,33,1.13
374,597,50.002864,-116.850776,Castlegar,100,55,33,1.13
382,592,50.179208,-117.034568,Castlegar,100,55,33,1.13
337,566,49.1447,-117.874176,Castlegar,100,55,33,1.13
359,548,49.619072,-118.531336,Castlegar,100,55,33,1.13
354,530,49.483124,-119.142632,Castlegar,100,55,33,1.13
332,584,49.048668,-117.251336,Castlegar,100,55,33,1.13
335,605,49.130784,-116.535904,Castlegar,100,55,33,1.13
346,578,49.358364,-117.47532,Castlegar,100,55,33,1.13
385,589,50.244392,-117.143336,Castlegar,100,55,33,1.13
348,543,49.365748,-118.68269600000001,Castlegar,100,55,33,1.13
371,567,49.909936,-117.892776,Castlegar,100,55,33,1.13
330,594,49.01126,-116.90728,Castlegar,100,55,33,1.13
350,609,49.470436,-116.4114,Castlegar,100,55,33,1.13
341,602,49.263932,-116.64436,Castlegar,100,55,33,1.13
335,571,49.104648,-117.700008,Castlegar,100,55,33,1.13
383,563,50.175488,-118.05192,Castlegar,100,55,33,1.13
345,600,49.352636,-116.717008,Castlegar,100,55,33,1.13
362,602,49.736252,-116.66452,Castlegar,100,55,33,1.13
342,566,49.257088,-117.881928,Castlegar,100,55,33,1.13
338,544,49.142356,-118.629088,Castlegar,100,55,33,1.13
339,542,49.162304,-118.69948,Castlegar,100,55,33,1.13
349,549,49.395608,-118.478176,Castlegar,100,55,33,1.13
369,599,49.89176,-116.775808,Castlegar,100,55,33,1.13
348,545,49.368256,-118.613912,Castlegar,100,55,33,1.13
330,611,49.021624,-116.326384,Castlegar,100,55,33,1.13
343,573,49.286376,-117.643032,Castlegar,100,55,33,1.13
346,591,49.368908,-117.027872,Castlegar,100,55,33,1.13
332,565,49.031304,-117.900616,Castlegar,100,55,33,1.13
371,565,49.907884,-117.962408,Castlegar,100,55,33,1.13
331,601,49.038396,-116.66908,Castlegar,100,55,33,1.13
345,558,49.316072,-118.161568,Castlegar,100,55,33,1.13
344,597,49.328172,-116.819216,Castlegar,100,55,33,1.13
350,610,49.470976,-116.376888,Castlegar,100,55,33,1.13
357,532,49.553292,-119.080136,Castlegar,100,55,33,1.13
330,615,49.023608,-116.189672,Castlegar,100,55,33,1.13
332,620,49.070836,-116.020048,Castlegar,100,55,33,1.13
338,597,49.193236,-116.813008,Castlegar,100,55,33,1.13
339,595,49.214356,-116.882672,Castlegar,100,55,33,1.13
404,359,50.196704,-125.248136,Cent_Van_Is,100,55,33,1.36
389,354,49.84624,-125.342752,Cent_Van_Is,100,55,33,1.36
373,360,49.510072,-125.054712,Cent_Van_Is,100,55,33,1.36
382,358,49.703816,-125.169008,Cent_Van_Is,100,55,33,1.36
355,392,49.207652,-123.877072,Cent_Van_Is,100,55,33,1.36
348,376,49.003844,-124.38852,Cent_Van_Is,100,55,33,1.36
390,356,49.875188,-125.279064,Cent_Van_Is,100,55,33,1.36
380,352,49.6393,-125.364528,Cent_Van_Is,100,55,33,1.36
353,363,49.074496,-124.853,Cent_Van_Is,100,55,33,1.36
350,367,49.020412,-124.702864,Cent_Van_Is,100,55,33,1.36
365,361,49.33524,-124.9804,Cent_Van_Is,100,55,33,1.36
356,364,49.144508,-124.833808,Cent_Van_Is,100,55,33,1.36
395,360,49.99974,-125.16688,Cent_Van_Is,100,55,33,1.36
361,365,49.25906,-124.82436,Cent_Van_Is,100,55,33,1.36
382,342,49.64956,-125.717808,Cent_Van_Is,100,55,33,1.36
349,383,49.047316,-124.155864,Cent_Van_Is,100,55,33,1.36
359,391,49.293984,-123.929032,Cent_Van_Is,100,55,33,1.36
390,341,49.823884,-125.7954,Cent_Van_Is,100,55,33,1.36
360,392,49.319208,-123.899392,Cent_Van_Is,100,55,33,1.36
360,372,49.258904,-124.581224,Cent_Van_Is,100,55,33,1.36
350,395,49.104732,-123.752912,Cent_Van_Is,100,55,33,1.36
392,360,49.932976,-125.151448,Cent_Van_Is,100,55,33,1.36
410,356,50.32014,-125.383872,Cent_Van_Is,100,55,33,1.36
378,354,49.601512,-125.285616,Cent_Van_Is,100,55,33,1.36
394,336,49.895112,-125.989368,Cent_Van_Is,100,55,33,1.36
359,382,49.267292,-124.235888,Cent_Van_Is,100,55,33,1.36
390,350,49.854956,-125.485736,Cent_Van_Is,100,55,33,1.36
396,351,49.9918,-125.483032,Cent_Van_Is,100,55,33,1.36
351,400,49.141236,-123.587248,Cent_Van_Is,100,55,33,1.36
352,377,49.096064,-124.373336,Cent_Van_Is,100,55,33,1.36
399,363,50.098644,-125.083616,Cent_Van_Is,100,55,33,1.36
400,362,50.117616,-125.123392,Cent_Van_Is,100,55,33,1.36
380,344,49.612028,-125.638592,Cent_Van_Is,100,55,33,1.36
355,381,49.175092,-124.251408,Cent_Van_Is,100,55,33,1.36
349,395,49.082416,-123.748528,Cent_Van_Is,100,55,33,1.36
382,368,49.736332,-124.825384,Cent_Van_Is,100,55,33,1.36
360,367,49.24316,-124.751408,Cent_Van_Is,100,55,33,1.36
378,343,49.564108,-125.662128,Cent_Van_Is,100,55,33,1.36
380,359,49.662604,-125.124472,Cent_Van_Is,100,55,33,1.36
352,401,49.166364,-123.55752,Cent_Van_Is,100,55,33,1.36
388,347,49.800224,-125.578336,Cent_Van_Is,100,55,33,1.36
380,365,49.68216,-124.91852,Cent_Van_Is,100,55,33,1.36
391,358,49.9041,-125.215296,Cent_Van_Is,100,55,33,1.36
394,360,49.977484,-125.161728,Cent_Van_Is,100,55,33,1.36
361,359,49.23968,-125.02848,Cent_Van_Is,100,55,33,1.36
351,375,49.06764,-124.436496,Cent_Van_Is,100,55,33,1.36
394,346,49.930184,-125.644872,Cent_Van_Is,100,55,33,1.36
353,387,49.148404,-124.038224,Cent_Van_Is,100,55,33,1.36
386,363,49.809256,-125.017456,Cent_Van_Is,100,55,33,1.36
352,375,49.089928,-124.441208,Cent_Van_Is,100,55,33,1.36
581,500,54.526268,-120.85596,Chetwynd,100,55,33,1.49
615,486,55.25928,-121.522896,Chetwynd,100,55,33,1.49
630,455,55.521648,-122.806056,Chetwynd,100,55,33,1.49
626,487,55.507796,-121.525368,Chetwynd,100,55,33,1.49
673,465,56.50832,-122.601488,Chetwynd,100,55,33,1.49
667,458,56.356396,-122.856568,Chetwynd,100,55,33,1.49
649,471,55.986204,-122.254408,Chetwynd,100,55,33,1.49
573,509,54.36394,-120.482936,Chetwynd,100,55,33,1.49
686,463,56.79392,-122.742464,Chetwynd,100,55,33,1.49
566,510,54.20878,-120.42264,Chetwynd,100,55,33,1.49
598,488,54.882792,-121.381144,Chetwynd,100,55,33,1.49
656,478,56.159308,-122.003536,Chetwynd,100,55,33,1.49
627,476,55.505636,-121.963984,Chetwynd,100,55,33,1.49
662,470,56.274616,-122.350712,Chetwynd,100,55,33,1.49
575,507,54.405092,-120.566288,Chetwynd,100,55,33,1.49
644,460,55.847344,-122.671128,Chetwynd,100,55,33,1.49
633,471,55.628228,-122.18656,Chetwynd,100,55,33,1.49
613,470,55.17836,-122.142648,Chetwynd,100,55,33,1.49
583,492,54.55508,-121.17188,Chetwynd,100,55,33,1.49
610,506,55.187944,-120.719592,Chetwynd,100,55,33,1.49
651,460,56.003848,-122.702744,Chetwynd,100,55,33,1.49
682,450,56.670404,-123.252096,Chetwynd,100,55,33,1.49
697,443,56.986012,-123.61316,Chetwynd,100,55,33,1.49
586,511,54.659128,-120.446616,Chetwynd,100,55,33,1.49
687,462,56.813724,-122.787904,Chetwynd,100,55,33,1.49
662,474,56.284204,-122.18968,Chetwynd,100,55,33,1.49
586,515,54.66632,-120.291528,Chetwynd,100,55,33,1.49
660,472,56.234692,-122.261568,Chetwynd,100,55,33,1.49
581,501,54.528212,-120.817336,Chetwynd,100,55,33,1.49
590,513,54.75246,-120.381544,Chetwynd,100,55,33,1.49
600,500,54.95214,-120.920536,Chetwynd,100,55,33,1.49
610,498,55.17228,-121.033536,Chetwynd,100,55,33,1.49
611,500,55.19868,-120.958544,Chetwynd,100,55,33,1.49
577,518,54.469684,-120.14828,Chetwynd,100,55,33,1.49
625,494,55.500224,-121.244904,Chetwynd,100,55,33,1.49
612,497,55.215084,-121.07984,Chetwynd,100,55,33,1.49
640,486,55.81914,-121.61912,Chetwynd,100,55,33,1.49
622,472,55.384452,-122.101256,Chetwynd,100,55,33,1.49
680,458,56.646944,-122.917672,Chetwynd,100,55,33,1.49
680,463,56.659788,-122.71464,Chetwynd,100,55,33,1.49
629,483,55.56622,-121.695192,Chetwynd,100,55,33,1.49
602,502,55.000888,-120.849272,Chetwynd,100,55,33,1.49
672,454,56.457692,-123.04156,Chetwynd,100,55,33,1.49
630,483,55.588608,-121.69912,Chetwynd,100,55,33,1.49
589,492,54.689516,-121.193176,Chetwynd,100,55,33,1.49
640,461,55.760424,-122.613472,Chetwynd,100,55,33,1.49
685,460,56.763876,-122.86,Chetwynd,100,55,33,1.49
630,472,55.563464,-122.134432,Chetwynd,100,55,33,1.49
583,487,54.544672,-121.365,Chetwynd,100,55,33,1.49
653,484,56.105792,-121.750496,Chetwynd,100,55,33,1.49
466,514,51.972532,-119.982592,Clearwater,100,55,33,0.91
480,522,52.29978,-119.727544,Clearwater,100,55,33,0.91
481,535,52.341988,-119.252752,Clearwater,100,55,33,0.91
473,529,52.153516,-119.453392,Clearwater,100,55,33,0.91
486,527,52.442296,-119.559208,Clearwater,100,55,33,0.91
488,521,52.47772,-119.785344,Clearwater,100,55,33,0.91
451,521,51.647324,-119.68912,Clearwater,100,55,33,0.91
453,506,51.667156,-120.236664,Clearwater,100,55,33,0.91
470,507,52.050244,-120.248776,Clearwater,100,55,33,0.91
469,533,52.069648,-119.29756,Clearwater,100,55,33,0.91
458,517,51.797984,-119.852128,Clearwater,100,55,33,0.91
448,514,51.568648,-119.93404,Clearwater,100,55,33,0.91
457,508,51.760376,-120.175584,Clearwater,100,55,33,0.91
458,537,51.82838,-119.126344,Clearwater,100,55,33,0.91
476,510,52.190072,-120.15628,Clearwater,100,55,33,0.91
486,514,52.421268,-120.037576,Clearwater,100,55,33,0.91
464,503,51.908548,-120.377016,Clearwater,100,55,33,0.91
463,517,51.910188,-119.865384,Clearwater,100,55,33,0.91
468,531,52.044256,-119.36816,Clearwater,100,55,33,0.91
488,508,52.45576,-120.263984,Clearwater,100,55,33,0.91
467,541,52.036036,-119.000968,Clearwater,100,55,33,0.91
492,513,52.55418,-120.091176,Clearwater,100,55,33,0.91
449,513,51.58942,-119.972808,Clearwater,100,55,33,0.91
497,520,52.678068,-119.846304,Clearwater,100,55,33,0.91
458,529,51.816772,-119.416776,Clearwater,100,55,33,0.91
484,533,52.406432,-119.333448,Clearwater,100,55,33,0.91
475,541,52.2157,-119.0188,Clearwater,100,55,33,0.91
487,508,52.433332,-120.261088,Clearwater,100,55,33,0.91
505,509,52.838848,-120.276528,Clearwater,100,55,33,0.91
482,519,52.339824,-119.842936,Clearwater,100,55,33,0.91
480,540,52.326612,-119.066752,Clearwater,100,55,33,0.91
491,517,52.538488,-119.940856,Clearwater,100,55,33,0.91
463,500,51.880672,-120.48304,Clearwater,100,55,33,0.91
465,522,51.963124,-119.688704,Clearwater,100,55,33,0.91
463,521,51.916648,-119.719936,Clearwater,100,55,33,0.91
447,511,51.54118,-120.03952,Clearwater,100,55,33,0.91
460,523,51.852476,-119.639568,Clearwater,100,55,33,0.91
493,527,52.599424,-119.576984,Clearwater,100,55,33,0.91
489,517,52.493612,-119.935392,Clearwater,100,55,33,0.91
494,509,52.592108,-120.244496,Clearwater,100,55,33,0.91
464,507,51.915656,-120.231656,Clearwater,100,55,33,0.91
445,532,51.529324,-119.277304,Clearwater,100,55,33,0.91
498,516,52.69388,-119.99708,Clearwater,100,55,33,0.91
477,520,52.229244,-119.792992,Clearwater,100,55,33,0.91
485,524,52.415172,-119.667056,Clearwater,100,55,33,0.91
468,512,52.014028,-120.06092,Clearwater,100,55,33,0.91
464,513,51.925976,-120.01352,Clearwater,100,55,33,0.91
478,528,52.264244,-119.502384,Clearwater,100,55,33,0.91
441,537,51.44662,-119.088,Clearwater,100,55,33,0.91
461,524,51.876484,-119.605776,Clearwater,100,55,33,0.91
331,634,49.05316,-115.540552,Cranbrook,100,55,33,1.52
340,627,49.253492,-115.78476,Cranbrook,100,55,33,1.52
388,624,50.332248,-115.916376,Cranbrook,100,55,33,1.52
365,636,49.818628,-115.485184,Cranbrook,100,55,33,1.52
355,612,49.584492,-116.311824,Cranbrook,100,55,33,1.52
378,630,50.109396,-115.700312,Cranbrook,100,55,33,1.52
361,627,49.725936,-115.796032,Cranbrook,100,55,33,1.52
352,626,49.523108,-115.825728,Cranbrook,100,55,33,1.52
381,630,50.176892,-115.701808,Cranbrook,100,55,33,1.52
385,633,50.267792,-115.598432,Cranbrook,100,55,33,1.52
378,612,50.101856,-116.330272,Cranbrook,100,55,33,1.52
408,629,50.784,-115.751016,Cranbrook,100,55,33,1.52
351,640,49.504556,-115.341592,Cranbrook,100,55,33,1.52
354,632,49.57006,-115.619296,Cranbrook,100,55,33,1.52
394,632,50.46998,-115.637784,Cranbrook,100,55,33,1.52
345,619,49.362856,-116.062904,Cranbrook,100,55,33,1.52
343,619,49.317864,-116.061568,Cranbrook,100,55,33,1.52
361,617,49.721892,-116.143088,Cranbrook,100,55,33,1.52
377,632,50.087516,-115.62984,Cranbrook,100,55,33,1.52
370,621,49.926108,-116.010096,Cranbrook,100,55,33,1.52
356,624,49.612356,-115.897192,Cranbrook,100,55,33,1.52
352,645,49.527948,-115.169096,Cranbrook,100,55,33,1.52
387,636,50.3136,-115.493848,Cranbrook,100,55,33,1.52
384,614,50.237836,-116.26496,Cranbrook,100,55,33,1.52
338,636,49.211168,-115.474792,Cranbrook,100,55,33,1.52
367,605,49.850536,-116.564992,Cranbrook,100,55,33,1.52
344,621,49.341208,-115.9934,Cranbrook,100,55,33,1.52
367,645,49.86544,-115.172608,Cranbrook,100,55,33,1.52
385,632,50.2675,-115.63356,Cranbrook,100,55,33,1.52
384,644,50.247772,-115.211768,Cranbrook,100,55,33,1.52
372,635,49.975864,-115.522824,Cranbrook,100,55,33,1.52
353,641,49.549756,-115.307648,Cranbrook,100,55,33,1.52
